Warning: truncated output (original token count: 74938)
Total output lines: 1200

4.123690426349639893e-01,5.083795189857482910e-01,9.505863785743713379e-01,4.927256405353546143e-01,2.685415744781494141e-01,9.058508276939392090e-01,6.977832317352294922e-01,8.299222588539123535e-01,3.758546411991119385e-01,5.929386019706726074e-01
4.128568768501281738e-01,5.089980363845825195e-01,9.511111378669738770e-01,4.932247102260589600e-01,2.690444886684417725e-01,9.062943458557128906e-01,6.982578635215759277e-01,8.303061127662658691e-01,3.763729631900787354e-01,5.935421586036682129e-01
4.133528470993041992e-01,5.096241831779479980e-01,9.516419768333435059e-01,4.937310218811035156e-01,2.695538997650146484e-01,9.067450165748596191e-01,6.987378597259521484e-01,8.306954503059387207e-01,3.768989443778991699e-01,5.941531658172607422e-01
4.138570129871368408e-01,5.102595090866088867e-01,9.521788358688354492e-01,4.942448139190673828e-01,2.700696885585784912e-01,9.072006344795227051e-01,6.992229223251342773e-01,8.310896754264831543e-01,3.774328827857971191e-01,5.947722792625427246e-01
4.143694937229156494e-01,5.109024047851562500e-01,9.527220726013183594e-01,4.947659075260162354e-01,2.705922424793243408e-01,9.076638817787170410e-01,6.997132897377014160e-01,8.314897418022155762e-01,3.779747188091278076e-01,5.953987836837768555e-01
4.148904085159301758e-01,5.115535855293273926e-01,9.532717466354370117e-01,4.952944815158843994e-01,2.711215317249298096e-01,9.081340432167053223e-01,7.002090215682983398e-01,8.318954110145568848e-01,3.785246014595031738e-01,5.960330367088317871e-01
4.154199063777923584e-01,5.122131109237670898e-01,9.538279175758361816e-01,4.958305358886718750e-01,2.716577351093292236e-01,9.086111187934875488e-01,7.007099390029907227e-01,8.323065042495727539e-01,3.790827095508575439e-01,5.966749787330627441e-01
4.159579873085021973e-01,5.128810405731201172e-01,9.543905854225158691e-01,4.963741004467010498e-01,2.722009420394897461e-01,9.090952277183532715e-01,7.012161612510681152e-01,8.327232003211975098e-01,3.796491026878356934e-01,5.973246693611145020e-01
4.165047407150268555e-01,5.135579109191894531e-01,9.549607038497924805e-01,4.969265460968017578e-01,2.727502286434173584e-01,9.095849394798278809e-01,7.017301917076110840e-01,8.331453204154968262e-01,3.802228868007659912e-01,5.979846119880676270e-01
4.170604348182678223e-01,5.142433643341064453e-01,9.555372595787048340e-01,4.974861741065979004e-01,2.733072936534881592e-01,9.100826978683471680e-01,7.022485136985778809e-01,8.335731625556945801e-01,3.808057904243469238e-01,5.986515283584594727e-01
4.176251292228698730e-01,5.149376988410949707e-01,9.561209678649902344e-01,4.980537891387939453e-01,2.738716006278991699e-01,9.105876684188842773e-01,7.027726769447326660e-01,8.340068459510803223e-01,3.813971579074859619e-01,5.993270277976989746e-01
4.181989729404449463e-01,5.156409740447998047e-01,9.567119479179382324e-01,4.986295104026794434e-01,2.744432687759399414e-01,9.110999107360839844e-01,7.033026218414306641e-01,8.344461917877197266e-01,3.819972574710845947e-01,6.000109910964965820e-01
4.187821149826049805e-01,5.163536071777343750e-01,9.573103785514831543e-01,4.992135167121887207e-01,2.750224173069000244e-01,9.116194248199462891e-01,7.038382291793823242e-01,8.348912000656127930e-01,3.826062083244323730e-01,6.007036566734313965e-01
4.193742573261260986e-01,5.170737504959106445e-01,9.579142928123474121e-01,4.998059272766113281e-01,2.756088674068450928e-01,9.121466875076293945e-01,7.043809890747070312e-01,8.353432416915893555e-01,3.832235932350158691e-01,6.014040112495422363e-01
4.199762046337127686e-01,5.178040266036987305e-01,9.585269093513488770e-01,5.004066824913024902e-01,2.762032449245452881e-01,9.126814007759094238e-01,7.049292922019958496e-01,8.358005285263061523e-01,3.838502764701843262e-01,6.021138429641723633e-01
4.205878376960754395e-01,5.185433030128479004e-01,9.591471552848815918e-01,5.010160803794860840e-01,2.768054604530334473e-01,9.132238626480102539e-01,7.054837942123413086e-01,8.362638950347900391e-01,3.844861090183258057e-01,6.028326153755187988e-01
4.212093949317932129e-01,5.192918181419372559e-01,9.597753882408142090e-01,5.016340613365173340e-01,2.774156928062438965e-01,9.137740731239318848e-01,7.060444951057434082e-01,8.367333412170410156e-01,3.851311504840850830e-01,6.035602092742919922e-01
4.218409955501556396e-01,5.200494527816772461e-01,9.604117870330810547e-01,5.022611021995544434e-01,2.780339717864990234e-01,9.143321514129638672e-01,7.066115736961364746e-01,8.372091054916381836e-01,3.857854604721069336e-01,6.042966246604919434e-01
